table,record,action,field,before,after
coverage,C01314,Edited,Status,Resolved,Superseded
coverage,C01314,Edited,Manufacturer count,4,Not applicable
coverage,C01314,Edited,Finding,"4 distinct manufacturer(s) documented against target 3: Polymaker, Prusa Research, SUNLU, Yousu. Recounted 2026-09-21 (m117-batch-b30) after the grades this batch added.","Superseded by C01336 (2026-09-21; was ""Resolved""): 4 distinct manufacturer(s) documented against target 3: Polymaker, Prusa Research, SUNLU, Yousu. Recounted 2026-09-21 (m117-batch-b30) after the grades this batch added."
coverage,C01336,Added,,,
grades,G129-07,Added,,,
grades,G052-07,Added,,,
grades,G017-14,Added,,,
grades,G014-20,Added,,,
grades,G093-06,Added,,,
measurements,V011047,Added,,,
measurements,V011048,Added,,,
measurements,V011049,Added,,,
measurements,V011050,Added,,,
measurements,V011051,Added,,,
measurements,V011052,Added,,,
measurements,V011053,Added,,,
measurements,V011054,Added,,,
measurements,V011055,Added,,,
measurements,V011056,Added,,,
measurements,V011057,Added,,,
measurements,V011058,Added,,,
measurements,V011059,Added,,,
measurements,V011060,Added,,,
measurements,V011061,Added,,,
measurements,V011062,Added,,,
measurements,V011063,Added,,,
measurements,V011064,Added,,,
measurements,V011065,Added,,,
measurements,V011066,Added,,,
measurements,V011067,Added,,,
measurements,V011068,Added,,,
measurements,V011069,Added,,,
measurements,V011070,Added,,,
measurements,V011071,Added,,,
measurements,V011072,Added,,,
measurements,V011073,Added,,,
measurements,V011074,Added,,,
measurements,V011075,Added,,,
measurements,V011076,Added,,,
measurements,V011077,Added,,,
measurements,V011078,Added,,,
measurements,V011079,Added,,,
measurements,V011080,Added,,,
measurements,V011081,Added,,,
measurements,V011082,Added,,,
measurements,V011083,Added,,,
measurements,V011084,Added,,,
measurements,V011085,Added,,,
measurements,V011086,Added,,,
measurements,V011087,Added,,,
measurements,V011088,Added,,,
measurements,V011089,Added,,,
measurements,V011090,Added,,,
measurements,V011091,Added,,,
measurements,V011092,Added,,,
measurements,V011093,Added,,,
measurements,V011094,Added,,,
measurements,V011095,Added,,,
measurements,V011096,Added,,,
profiles,P1093,Added,,,
profiles,P1094,Added,,,
profiles,P1095,Added,,,
profiles,P1096,Added,,,
profiles,P1097,Added,,,
sources,R-FIBERLOGY-FIBERLOGY-FIBERFLEXCF-TDS,Added,,,
sources,R-FIBERLOGY-FIBERLOGY-RNYLON-TDS,Added,,,
sources,R-RECREUS-PLA-LW,Added,,,
sources,R-FIBERLOGY-FIBERLOGY-FIBERWOOD-TDS,Added,,,
sources,R-FIBERLOGY-FIBERLOGY-FIBERFLEX-CF-TDS,Added,,,
sources,R-FIBERLOGY-FIBERLOGY-FIBERSMOOTH-TDS,Added,,,
