table,record,action,field,before,after
coverage,C01256,Edited,Status,Resolved,Superseded
coverage,C01256,Edited,Manufacturer count,4,Not applicable
coverage,C01256,Edited,Finding,"4 distinct manufacturer(s) documented against target 3: 3DXTECH, Extrudr, Fabru / purefil, eSUN. Recounted 2026-09-20 (m81-batch-b12) after the grades this batch added.","Superseded by C01307 (2026-09-21; was ""Resolved""): 4 distinct manufacturer(s) documented against target 3: 3DXTECH, Extrudr, Fabru / purefil, eSUN. Recounted 2026-09-20 (m81-batch-b12) after the grades this batch added."
coverage,C01262,Edited,Status,Resolved,Superseded
coverage,C01262,Edited,Manufacturer count,3,Not applicable
coverage,C01262,Edited,Finding,"3 distinct manufacturer(s) documented against target 3: 3D4Makers, 3DXTECH, iSANMATE. Recounted 2026-09-20 (m81-batch-b12) after the grades this batch added.","Superseded by C01303 (2026-09-21; was ""Resolved""): 3 distinct manufacturer(s) documented against target 3: 3D4Makers, 3DXTECH, iSANMATE. Recounted 2026-09-20 (m81-batch-b12) after the grades this batch added."
coverage,C01277,Edited,Status,Resolved,Superseded
coverage,C01277,Edited,Manufacturer count,4,Not applicable
coverage,C01277,Edited,Finding,"4 distinct manufacturer(s) documented against target 3: 3DXTECH, Braskem, Nanovia, Prusa Research. Recounted 2026-09-20 (m83-batch-b14) after the grades this batch added.","Superseded by C01304 (2026-09-21; was ""Resolved""): 4 distinct manufacturer(s) documented against target 3: 3DXTECH, Braskem, Nanovia, Prusa Research. Recounted 2026-09-20 (m83-batch-b14) after the grades this batch added."
coverage,C01289,Edited,Status,Resolved,Superseded
coverage,C01289,Edited,Manufacturer count,24,Not applicable
coverage,C01289,Edited,Finding,"24 distinct manufacturer(s) documented against target 3: Anycubic, BigRep, Eryone, Essentium, Extrudr, Fabru / purefil, Fillamentum, Flashforge, FormFutura, MatterHackers, Nanovia, NinjaTek, Polymaker, Prusa Research, QIDI, Raise3D, Recreus, SIDDAMENT, SUNLU, Spectrum, The Filament, colorFabb, eSUN, iSANMATE. Recounted 2026-09-20 (m90-batch-b19) after the grades this batch added.","Superseded by C01305 (2026-09-21; was ""Resolved""): 24 distinct manufacturer(s) documented against target 3: Anycubic, BigRep, Eryone, Essentium, Extrudr, Fabru / purefil, Fillamentum, Flashforge, FormFutura, MatterHackers, Nanovia, NinjaTek, Polymaker, Prusa Research, QIDI, Raise3D, Recreus, SIDDAMENT, SUNLU, Spectrum, The Filament, colorFabb, eSUN, iSANMATE. Recounted 2026-09-20 (m90-batch-b19) after the grades this batch added."
coverage,C01297,Edited,Status,Resolved,Superseded
coverage,C01297,Edited,Manufacturer count,8,Not applicable
coverage,C01297,Edited,Finding,"8 distinct manufacturer(s) documented against target 3: Fabru / purefil, Fiberlogy, Fillamentum, Raise3D, SUNLU, Spectrum, Yousu, iSANMATE. Recounted 2026-09-20 (m91-batch-b20) after the grades this batch added.","Superseded by C01308 (2026-09-21; was ""Resolved""): 8 distinct manufacturer(s) documented against target 3: Fabru / purefil, Fiberlogy, Fillamentum, Raise3D, SUNLU, Spectrum, Yousu, iSANMATE. Recounted 2026-09-20 (m91-batch-b20) after the grades this batch added."
coverage,C01302,Edited,Status,Resolved,Superseded
coverage,C01302,Edited,Manufacturer count,7,Not applicable
coverage,C01302,Edited,Finding,"7 distinct manufacturer(s) documented against target 3: 3DXTECH, Fabru / purefil, Fillamentum, Nanovia, Spectrum, Stratasys, eSUN. Recounted 2026-09-21 (m96-batch-b24) after the grades this batch added.","Superseded by C01306 (2026-09-21; was ""Resolved""): 7 distinct manufacturer(s) documented against target 3: 3DXTECH, Fabru / purefil, Fillamentum, Nanovia, Spectrum, Stratasys, eSUN. Recounted 2026-09-21 (m96-batch-b24) after the grades this batch added."
coverage,C01303,Added,,,
coverage,C01304,Added,,,
coverage,C01305,Added,,,
coverage,C01306,Added,,,
coverage,C01307,Added,,,
coverage,C01308,Added,,,
grades,G018-17,Added,,,
grades,G001-156,Added,,,
grades,G146-01,Added,,,
grades,G031-34,Added,,,
grades,G001-157,Added,,,
grades,G011-07,Added,,,
grades,G094-10,Added,,,
grades,G001-158,Added,,,
grades,G020-61,Added,,,
grades,G027-45,Added,,,
grades,G027-46,Added,,,
grades,G102-04,Added,,,
grades,G001-159,Added,,,
grades,G015-04,Added,,,
grades,G008-28,Added,,,
grades,G125-04,Added,,,
grades,G083-05,Added,,,
grades,G001-160,Added,,,
grades,G001-161,Added,,,
grades,G014-13,Added,,,
grades,G011-08,Added,,,
grades,G147-01,Added,,,
grades,G020-62,Added,,,
grades,G031-35,Added,,,
grades,G039-65,Added,,,
grades,G001-162,Added,,,
grades,G020-63,Added,,,
grades,G081-08,Added,,,
grades,G027-47,Added,,,
grades,G148-01,Added,,,
grades,G148-02,Added,,,
grades,G052-05,Added,,,
grades,G001-163,Added,,,
grades,G012-06,Added,,,
grades,G031-36,Added,,,
