table,record,action,field,before,after
grades,G027-02,Added,,,
grades,G031-02,Added,,,
grades,G035-02,Added,,,
grades,G036-02,Added,,,
grades,G067-02,Added,,,
grades,G024-02,Added,,,
grades,G048-02,Added,,,
measurements,V002349,Added,,,
measurements,V002350,Added,,,
measurements,V002351,Added,,,
measurements,V002352,Added,,,
measurements,V002353,Added,,,
measurements,V002354,Added,,,
measurements,V002355,Added,,,
measurements,V002356,Added,,,
measurements,V002357,Added,,,
measurements,V002358,Added,,,
measurements,V002359,Added,,,
measurements,V002360,Added,,,
measurements,V002361,Added,,,
measurements,V002362,Added,,,
measurements,V002363,Added,,,
measurements,V002364,Added,,,
measurements,V002365,Added,,,
measurements,V002366,Added,,,
measurements,V002367,Added,,,
measurements,V002368,Added,,,
measurements,V002369,Added,,,
measurements,V002370,Added,,,
measurements,V002371,Added,,,
measurements,V002372,Added,,,
measurements,V002373,Added,,,
measurements,V002374,Added,,,
measurements,V002375,Added,,,
measurements,V002376,Added,,,
measurements,V002377,Added,,,
measurements,V002378,Added,,,
measurements,V002379,Added,,,
measurements,V002380,Added,,,
measurements,V002381,Added,,,
measurements,V002382,Added,,,
measurements,V002383,Added,,,
measurements,V002384,Added,,,
measurements,V002385,Added,,,
measurements,V002386,Added,,,
measurements,V002387,Added,,,
measurements,V002388,Added,,,
measurements,V002389,Added,,,
measurements,V002390,Added,,,
measurements,V002391,Added,,,
measurements,V002392,Added,,,
measurements,V002393,Added,,,
measurements,V002394,Added,,,
measurements,V002395,Added,,,
measurements,V002396,Added,,,
measurements,V002397,Added,,,
measurements,V002398,Added,,,
measurements,V002399,Added,,,
measurements,V002400,Added,,,
measurements,V002401,Added,,,
measurements,V002402,Added,,,
measurements,V002403,Added,,,
measurements,V002404,Added,,,
measurements,V002405,Added,,,
measurements,V002406,Added,,,
measurements,V002407,Added,,,
measurements,V002408,Added,,,
measurements,V002409,Added,,,
measurements,V002410,Added,,,
measurements,V002411,Added,,,
measurements,V002412,Added,,,
measurements,V002413,Added,,,
measurements,V002414,Added,,,
measurements,V002415,Added,,,
measurements,V002416,Added,,,
measurements,V002417,Added,,,
measurements,V002418,Added,,,
measurements,V002419,Added,,,
measurements,V002420,Added,,,
measurements,V002421,Added,,,
measurements,V002422,Added,,,
measurements,V002423,Added,,,
measurements,V002424,Added,,,
measurements,V002425,Added,,,
measurements,V002426,Added,,,
measurements,V002427,Added,,,
measurements,V002428,Added,,,
measurements,V002429,Added,,,
measurements,V002430,Added,,,
measurements,V002431,Added,,,
measurements,V002432,Added,,,
measurements,V002433,Added,,,
measurements,V002434,Added,,,
measurements,V002435,Added,,,
measurements,V002436,Added,,,
measurements,V002437,Added,,,
measurements,V002438,Added,,,
measurements,V002439,Added,,,
measurements,V002440,Added,,,
measurements,V002441,Added,,,
measurements,V002442,Added,,,
measurements,V002443,Added,,,
measurements,V002444,Added,,,
measurements,V002445,Added,,,
measurements,V002446,Added,,,
measurements,V002447,Added,,,
measurements,V002448,Added,,,
measurements,V002449,Added,,,
measurements,V002450,Added,,,
measurements,V002451,Added,,,
measurements,V002452,Added,,,
measurements,V002453,Added,,,
measurements,V002454,Added,,,
measurements,V002455,Added,,,
measurements,V002456,Added,,,
measurements,V002457,Added,,,
measurements,V002458,Added,,,
measurements,V002459,Added,,,
measurements,V002460,Added,,,
measurements,V002461,Added,,,
measurements,V002462,Added,,,
measurements,V002463,Added,,,
measurements,V002464,Added,,,
measurements,V002465,Added,,,
measurements,V002466,Added,,,
measurements,V002467,Added,,,
measurements,V002468,Added,,,
measurements,V002469,Added,,,
measurements,V002470,Added,,,
measurements,V002471,Added,,,
measurements,V002472,Added,,,
measurements,V002473,Added,,,
measurements,V002474,Added,,,
measurements,V002475,Added,,,
measurements,V002476,Added,,,
measurements,V002477,Added,,,
measurements,V002478,Added,,,
measurements,V002479,Added,,,
measurements,V002480,Added,,,
measurements,V002481,Added,,,
measurements,V002482,Added,,,
measurements,V002483,Added,,,
measurements,V002484,Added,,,
measurements,V002485,Added,,,
measurements,V002486,Added,,,
measurements,V002487,Added,,,
measurements,V002488,Added,,,
measurements,V002489,Added,,,
measurements,V002490,Added,,,
measurements,V002491,Added,,,
measurements,V002492,Added,,,
measurements,V002493,Added,,,
measurements,V002494,Added,,,
measurements,V002495,Added,,,
measurements,V002496,Added,,,
measurements,V002497,Added,,,
measurements,V002498,Added,,,
measurements,V002499,Added,,,
measurements,V002500,Added,,,
measurements,V002501,Added,,,
measurements,V002502,Added,,,
measurements,V002503,Added,,,
measurements,V002504,Added,,,
measurements,V002505,Added,,,
measurements,V002506,Added,,,
measurements,V002507,Added,,,
measurements,V002508,Added,,,
measurements,V002509,Added,,,
measurements,V002510,Added,,,
measurements,V002511,Added,,,
measurements,V002512,Added,,,
measurements,V002513,Added,,,
measurements,V002514,Added,,,
measurements,V002515,Added,,,
measurements,V002516,Added,,,
sources,S-POLYCN-PolyLite-ABS-TDS-V5-3,Added,,,
sources,S-POLYCN-PolyLite-ASA-TDS-V5-3,Added,,,
sources,S-POLYCN-PolyLite-PC-TDS-V5-3,Added,,,
sources,S-POLYCN-PolyMax-PC-FR-TDS-V5-1,Added,,,
sources,R-FIBERON-PETCF17-TDS,Added,,,
sources,R-FIBERON-PETGRCF08-TDS,Added,,,
sources,R-FORWARDAM-PAHT-CF15-TDS-v4-0,Added,,,
