table,record,action,field,before,after
grades,G070-09,Added,,,
grades,G032-05,Added,,,
grades,G145-01,Added,,,
headlines,M145 | density | V009445,Added,,,
material_links,M104 | printing | P0184,Added,,,
material_links,M105 | printing | P0186,Added,,,
material_links,M106 | printing | P0187,Added,,,
material_links,M107 | printing | P0193,Added,,,
material_links,M108 | printing | P0200,Added,,,
material_links,M109 | printing | P0208,Added,,,
material_links,M110 | printing | P0209,Added,,,
material_links,M111 | printing | P0227,Added,,,
material_links,M112 | printing | P0228,Added,,,
material_links,M113 | printing | P0236,Added,,,
material_links,M114 | printing | P0238,Added,,,
material_links,M115 | printing | P0239,Added,,,
material_links,M116 | printing | P0240,Added,,,
material_links,M117 | printing | P0242,Added,,,
material_links,M118 | printing | P0246,Added,,,
material_links,M119 | printing | P0251,Added,,,
material_links,M120 | printing | P0252,Added,,,
material_links,M121 | printing | P0253,Added,,,
material_links,M122 | printing | P0255,Added,,,
material_links,M123 | printing | P0258,Added,,,
material_links,M124 | printing | P0260,Added,,,
material_links,M125 | printing | P0261,Added,,,
material_links,M126 | printing | P0262,Added,,,
material_links,M127 | printing | P0266,Added,,,
material_links,M128 | printing | P0269,Added,,,
material_links,M129 | printing | P0369,Added,,,
material_links,M130 | printing | P0370,Added,,,
material_links,M131 | printing | P0379,Added,,,
material_links,M132 | printing | P0467,Added,,,
material_links,M133 | printing | P0476,Added,,,
material_links,M134 | printing | P0494,Added,,,
material_links,M141 | printing | P0495,Added,,,
material_links,M142 | printing | P0499,Added,,,
material_links,M143 | printing | P0512,Added,,,
material_links,M145 | printing | P0927,Added,,,
materials,M145,Added,,,
measurements,V009443,Added,,,
measurements,V009444,Added,,,
measurements,V009445,Added,,,
measurements,V009446,Added,,,
measurements,V009447,Added,,,
measurements,V009448,Added,,,
measurements,V009449,Added,,,
measurements,V009450,Added,,,
measurements,V009451,Added,,,
measurements,V009452,Added,,,
measurements,V009453,Added,,,
measurements,V009454,Added,,,
measurements,V009455,Added,,,
measurements,V009456,Added,,,
measurements,V009457,Added,,,
measurements,V009458,Added,,,
measurements,V009459,Added,,,
measurements,V009460,Added,,,
measurements,V009461,Added,,,
measurements,V009462,Added,,,
measurements,V009463,Added,,,
measurements,V009464,Added,,,
measurements,V009465,Added,,,
measurements,V009466,Added,,,
polymers,PA11,Added,,,
polymers,SEBS,Added,,,
polymers,PLA-PHA,Added,,,
polymers,PLA-PHB,Added,,,
profile_notes,P0925 | Speed,Added,,,
profile_notes,P0925 | Retraction,Added,,,
profile_notes,P0926 | Speed,Added,,,
profile_notes,P0927 | Cooling,Added,,,
profile_notes,P0927 | Speed,Added,,,
profile_notes,P0928 | Cooling,Added,,,
profile_notes,P0928 | Speed,Added,,,
profiles,P0925,Added,,,
profiles,P0926,Added,,,
profiles,P0927,Added,,,
profiles,P0928,Added,,,
sources,R-ARKEMA-RILSAN-BESNO-TL-TDS,Added,,,
sources,R-ARKEMA-RILSAN-PA11-ES-NAT-MAC-TDS,Added,,,
sources,R-ARKEMA-RILSAN-PA11-BROCHURE,Added,,,
sources,R-KRATON-G1650M-TDS,Added,,,
sources,R-KRATON-POLYMER-PRODUCT-GUIDE,Added,,,
sources,R-COLORFABB-PLA-PHA-PAGE,Added,,,
sources,R-PANARA-NONOILEN-TF-3066-8-TDS,Added,,,
sources,R-FILLAMENTUM-NONOILEN-ADDITIONAL,Added,,,
sources,R-FILLAMENTUM-NONOILEN-PAGE,Added,,,
sources,D-SIRAYA-siraya-tech-fibreheart-paht-cf-ppa-based-tds,Added,,,
sources,R-COLORFABB-colorFabb-LW-ASA-TDS,Added,,,
sources,R-COLORFABB-colorFabb-PLA-PHA-Printing-Filament-TDS,Added,,,
sources,R-COLORFABB-TDS-PLA-PHA,Added,,,
