Verdict,Note,By,MeasurementID,batch,Manufacturer,Product,Property,Direction,Raw value,Normalized value,Standard / load,Locator,SourceID,URL,Document,Page images
,,,V009455,b25,colorFabb,PLA/PHA,Melting temperature,Not applicable,155 °C,155 °C,ISO 3146-C,p. 1: Melting temperature °C,R-COLORFABB-colorFabb-PLA-PHA-Printing-Filament-TDS,https://ninjatek.com/wp-content/uploads/colorFabb_PLA-PHA_Printing_Filament_TDS.pdf,.cache/sources/by-sha/d92bf0040ab556fb90b6060a652c07541c7364d9dcd25a18432f941242b7b5f7.pdf,
,,,V009456,b25,colorFabb,PLA/PHA,Tensile modulus,Unstated,3290 MPa,3.29 GPa,ISO 527-1A,"p. 1: Youngs Modulus Tensile, ISO 527-1A",R-COLORFABB-TDS-PLA-PHA,https://downloads.colorfabb.com/public.php/dav/files/rtfDDRCa723Xdor/Technical%20Data%20Sheets/PLA/colorFabb%20PLA-PHA/TDS_PLA-PHA.pdf,.cache/sources/by-sha/d9edb7dbfbf74ffd36e73df378554dc6889097289cbc20f5ecc753d4ae9b286f.pdf,
,,,V009465,b25,colorFabb,PLA/PHA,HDT,Not applicable,51 °C,51 °C,ISO 75,"p. 1: Heat Deflection Temp. HDT-B, ISO 75",R-COLORFABB-TDS-PLA-PHA,https://downloads.colorfabb.com/public.php/dav/files/rtfDDRCa723Xdor/Technical%20Data%20Sheets/PLA/colorFabb%20PLA-PHA/TDS_PLA-PHA.pdf,.cache/sources/by-sha/d9edb7dbfbf74ffd36e73df378554dc6889097289cbc20f5ecc753d4ae9b286f.pdf,
,,,V009444,b25,colorFabb,LW-ASA,Density,Not applicable,"0.40-1,07 g/cm3",400 kg/m³,3,p. 1: Density g/cm3,R-COLORFABB-colorFabb-LW-ASA-TDS,https://ninjatek.com/wp-content/uploads/colorFabb_LW-ASA_TDS.pdf,.cache/sources/by-sha/a390ca138895b644c0eb2b3d813ef3ba98e2385d38aa499d814c20ef66aca518.pdf,
,,,V009449,b25,colorFabb,PLA/PHA,Tensile break strength,Unstated,38 MPa,38 MPa,ISO 527,p. 1: Tensile stress at break MPa,R-COLORFABB-colorFabb-PLA-PHA-Printing-Filament-TDS,https://ninjatek.com/wp-content/uploads/colorFabb_PLA-PHA_Printing_Filament_TDS.pdf,.cache/sources/by-sha/d92bf0040ab556fb90b6060a652c07541c7364d9dcd25a18432f941242b7b5f7.pdf,
,,,V009452,b25,colorFabb,PLA/PHA,Flexural strength,Unstated,"88,8 MPa",88.8 MPa,3.5% strain ISO 178,p. 1: Flexural stress at 3.5% strain MPa,R-COLORFABB-colorFabb-PLA-PHA-Printing-Filament-TDS,https://ninjatek.com/wp-content/uploads/colorFabb_PLA-PHA_Printing_Filament_TDS.pdf,.cache/sources/by-sha/d92bf0040ab556fb90b6060a652c07541c7364d9dcd25a18432f941242b7b5f7.pdf,
,,,V009448,b25,colorFabb,PLA/PHA,Tensile strain at strength,Unstated,"5,3 %",5.3 %,ISO 527,p. 1: Tensile strain at tensile strength %,R-COLORFABB-colorFabb-PLA-PHA-Printing-Filament-TDS,https://ninjatek.com/wp-content/uploads/colorFabb_PLA-PHA_Printing_Filament_TDS.pdf,.cache/sources/by-sha/d92bf0040ab556fb90b6060a652c07541c7364d9dcd25a18432f941242b7b5f7.pdf,
,,,V009451,b25,colorFabb,PLA/PHA,Flexural modulus,Unstated,3295 MPa,3.295 GPa,ISO 178,p. 1: Flexural modulus MPa,R-COLORFABB-colorFabb-PLA-PHA-Printing-Filament-TDS,https://ninjatek.com/wp-content/uploads/colorFabb_PLA-PHA_Printing_Filament_TDS.pdf,.cache/sources/by-sha/d92bf0040ab556fb90b6060a652c07541c7364d9dcd25a18432f941242b7b5f7.pdf,
,,,V009457,b25,colorFabb,PLA/PHA,Tensile strength (endpoint unspecified),Unstated,57.7 MPa,57.7 MPa,ISO 527-1A,"p. 1: Tensile Strength Tensile, ISO 527-1A",R-COLORFABB-TDS-PLA-PHA,https://downloads.colorfabb.com/public.php/dav/files/rtfDDRCa723Xdor/Technical%20Data%20Sheets/PLA/colorFabb%20PLA-PHA/TDS_PLA-PHA.pdf,.cache/sources/by-sha/d9edb7dbfbf74ffd36e73df378554dc6889097289cbc20f5ecc753d4ae9b286f.pdf,
,,,V009466,b25,colorFabb,PLA/PHA,Melt mass-flow rate,Not applicable,3.0-5.0 g/10 min,3 g/10 min,190°C/1 16 kg,"p. 1: Melt Flow Index MFI, (190°C/1,16 kg)",R-COLORFABB-TDS-PLA-PHA,https://downloads.colorfabb.com/public.php/dav/files/rtfDDRCa723Xdor/Technical%20Data%20Sheets/PLA/colorFabb%20PLA-PHA/TDS_PLA-PHA.pdf,.cache/sources/by-sha/d9edb7dbfbf74ffd36e73df378554dc6889097289cbc20f5ecc753d4ae9b286f.pdf,
