table,record,action,field,before,after
coverage,C01265,Edited,Status,Resolved,Superseded
coverage,C01265,Edited,Manufacturer count,7,Not applicable
coverage,C01265,Edited,Finding,"7 distinct manufacturer(s) documented against target 3: Fabru / purefil, Fillamentum, Raise3D, SUNLU, Spectrum, Yousu, iSANMATE. Recounted 2026-09-20 (m81-batch-b12) after the grades this batch added.","Superseded by C01297 (2026-09-20; was ""Resolved""): 7 distinct manufacturer(s) documented against target 3: Fabru / purefil, Fillamentum, Raise3D, SUNLU, Spectrum, Yousu, iSANMATE. Recounted 2026-09-20 (m81-batch-b12) after the grades this batch added."
coverage,C01281,Edited,Status,Resolved,Superseded
coverage,C01281,Edited,Manufacturer count,7,Not applicable
coverage,C01281,Edited,Finding,"7 distinct manufacturer(s) documented against target 3: 3DXTECH, Eryone, Extrudr, Nanovia, SIDDAMENT, eSUN, iSANMATE. Recounted 2026-09-20 (m85-batch-b15) after the grades this batch added.","Superseded by C01296 (2026-09-20; was ""Resolved""): 7 distinct manufacturer(s) documented against target 3: 3DXTECH, Eryone, Extrudr, Nanovia, SIDDAMENT, eSUN, iSANMATE. Recounted 2026-09-20 (m85-batch-b15) after the grades this batch added."
coverage,C01296,Added,,,
coverage,C01297,Added,,,
grades,G020-56,Added,,,
grades,G129-03,Added,,,
grades,G024-19,Added,,,
grades,G014-12,Added,,,
grades,G129-04,Added,,,
grades,G118-03,Added,,,
grades,G001-133,Added,,,
grades,G013-04,Added,,,
grades,G125-03,Added,,,
grades,G001-134,Added,,,
grades,G137-02,Added,,,
grades,G001-135,Added,,,
grades,G029-08,Added,,,
grades,G082-10,Added,,,
grades,G001-136,Added,,,
grades,G001-137,Added,,,
grades,G122-02,Added,,,
grades,G049-08,Added,,,
grades,G001-138,Added,,,
grades,G001-139,Added,,,
grades,G129-05,Added,,,
grades,G001-140,Added,,,
grades,G129-06,Added,,,
measurements,V009145,Added,,,
measurements,V009146,Added,,,
measurements,V009147,Added,,,
measurements,V009148,Added,,,
measurements,V009149,Added,,,
measurements,V009150,Added,,,
measurements,V009151,Added,,,
measurements,V009152,Added,,,
measurements,V009153,Added,,,
measurements,V009154,Added,,,
measurements,V009155,Added,,,
measurements,V009156,Added,,,
measurements,V009157,Added,,,
measurements,V009158,Added,,,
measurements,V009159,Added,,,
measurements,V009160,Added,,,
