SourceID,Page,Value,Uncertainty,Unit,Line
R-CELANESE-ZYTEL-101L,17,4,,MPa,4 MPa
R-CELANESE-ZYTEL-101L,17,6,,MPa,6 MPa
R-CELANESE-ZYTEL-101L,17,8,,MPa,8 MPa
R-CELANESE-ZYTEL-101L,17,12,,MPa,12 MPa
R-CELANESE-ZYTEL-101L,20,5,,%,"Acetic Acid (5% by mass), 23°C"
R-CELANESE-ZYTEL-101L,20,23,,°C,"Acetic Acid (5% by mass), 23°C"
R-CELANESE-ZYTEL-101L,20,23,,°C,"Citric Acid solution (10% by mass), 23°C"
R-CELANESE-ZYTEL-101L,20,23,,°C,"Lactic Acid (10% by mass), 23°C"
R-CELANESE-ZYTEL-101L,20,36,,%,"Hydrochloric Acid (36% by mass), 23°C"
R-CELANESE-ZYTEL-101L,20,23,,°C,"Hydrochloric Acid (36% by mass), 23°C"
R-CELANESE-ZYTEL-101L,20,40,,%,"Nitric Acid (40% by mass), 23°C"
R-CELANESE-ZYTEL-101L,20,23,,°C,"Nitric Acid (40% by mass), 23°C"
