table,record,action,field,before,after
grades,G008-29,Added,,,
grades,G149-01,Added,,,
grades,G138-03,Added,,,
grades,G027-50,Added,,,
grades,G001-166,Added,,,
grades,G001-167,Added,,,
grades,G053-13,Added,,,
grades,G017-13,Added,,,
grades,G018-18,Added,,,
grades,G014-15,Added,,,
grades,G001-168,Added,,,
grades,G028-12,Added,,,
grades,G048-05,Added,,,
grades,G024-22,Added,,,
grades,G125-05,Added,,,
grades,G001-169,Added,,,
grades,G001-170,Added,,,
grades,G031-38,Added,,,
materials,M149,Added,,,
measurements,V009852,Added,,,
measurements,V009853,Added,,,
measurements,V009854,Added,,,
measurements,V009855,Added,,,
measurements,V009856,Added,,,
measurements,V009857,Added,,,
measurements,V009858,Added,,,
measurements,V009859,Added,,,
measurements,V009860,Added,,,
measurements,V009861,Added,,,
measurements,V009862,Added,,,
measurements,V009863,Added,,,
measurements,V009864,Added,,,
measurements,V009865,Added,,,
measurements,V009866,Added,,,
measurements,V009867,Added,,,
measurements,V009868,Added,,,
measurements,V009869,Added,,,
measurements,V009870,Added,,,
measurements,V009871,Added,,,
measurements,V009872,Added,,,
measurements,V009873,Added,,,
measurements,V009874,Added,,,
measurements,V009875,Added,,,
measurements,V009876,Added,,,
measurements,V009877,Added,,,
measurements,V009878,Added,,,
measurements,V009879,Added,,,
measurements,V009880,Added,,,
measurements,V009881,Added,,,
measurements,V009882,Added,,,
measurements,V009883,Added,,,
measurements,V009884,Added,,,
measurements,V009885,Added,,,
measurements,V009886,Added,,,
measurements,V009887,Added,,,
measurements,V009888,Added,,,
measurements,V009889,Added,,,
measurements,V009890,Added,,,
measurements,V009891,Added,,,
measurements,V009892,Added,,,
measurements,V009893,Added,,,
measurements,V009894,Added,,,
measurements,V009895,Added,,,
measurements,V009896,Added,,,
measurements,V009897,Added,,,
measurements,V009898,Added,,,
measurements,V009899,Added,,,
measurements,V009900,Added,,,
measurements,V009901,Added,,,
measurements,V009902,Added,,,
measurements,V009903,Added,,,
measurements,V009904,Added,,,
measurements,V009905,Added,,,
measurements,V009906,Added,,,
measurements,V009907,Added,,,
measurements,V009908,Added,,,
measurements,V009909,Added,,,
measurements,V009910,Added,,,
measurements,V009911,Added,,,
measurements,V009912,Added,,,
measurements,V009913,Added,,,
measurements,V009914,Added,,,
measurements,V009915,Added,,,
measurements,V009916,Added,,,
measurements,V009917,Added,,,
measurements,V009918,Added,,,
measurements,V009919,Added,,,
measurements,V009920,Added,,,
measurements,V009921,Added,,,
measurements,V009922,Added,,,
measurements,V009923,Added,,,
measurements,V009924,Added,,,
measurements,V009925,Added,,,
measurements,V009926,Added,,,
measurements,V009927,Added,,,
measurements,V009928,Added,,,
measurements,V009929,Added,,,
measurements,V009930,Added,,,
measurements,V009931,Added,,,
measurements,V009932,Added,,,
measurements,V009933,Added,,,
measurements,V009934,Added,,,
measurements,V009935,Added,,,
measurements,V009936,Added,,,
measurements,V009937,Added,,,
measurements,V009938,Added,,,
measurements,V009939,Added,,,
measurements,V009940,Added,,,
measurements,V009941,Added,,,
measurements,V009942,Added,,,
measurements,V009943,Added,,,
measurements,V009944,Added,,,
measurements,V009945,Added,,,
measurements,V009946,Added,,,
measurements,V009947,Added,,,
measurements,V009948,Added,,,
measurements,V009949,Added,,,
measurements,V009950,Added,,,
measurements,V009951,Added,,,
measurements,V009952,Added,,,
measurements,V009953,Added,,,
measurements,V009954,Added,,,
measurements,V009955,Added,,,
measurements,V009956,Added,,,
measurements,V009957,Added,,,
measurements,V009958,Added,,,
measurements,V009959,Added,,,
measurements,V009960,Added,,,
measurements,V009961,Added,,,
measurements,V009962,Added,,,
measurements,V009963,Added,,,
measurements,V009964,Added,,,
measurements,V009965,Added,,,
measurements,V009966,Added,,,
measurements,V009967,Added,,,
measurements,V009968,Added,,,
measurements,V009969,Added,,,
measurements,V009970,Added,,,
measurements,V009971,Added,,,
measurements,V009972,Added,,,
measurements,V009973,Added,,,
measurements,V009974,Added,,,
measurements,V009975,Added,,,
measurements,V009976,Added,,,
measurements,V009977,Added,,,
measurements,V009978,Added,,,
measurements,V009979,Added,,,
measurements,V009980,Added,,,
measurements,V009981,Added,,,
profile_notes,P0969 | Speed,Added,,,
profile_notes,P0969 | Cooling,Added,,,
profile_notes,P0970 | Speed,Added,,,
profile_notes,P0970 | Cooling,Added,,,
profile_notes,P0971 | Speed,Added,,,
profile_notes,P0971 | Adhesion / release,Added,,,
profile_notes,P0971 | Retraction,Added,,,
profile_notes,P0971 | Cooling,Added,,,
profile_notes,P0972 | Speed,Added,,,
profile_notes,P0972 | Cooling,Added,,,
profile_notes,P0973 | Speed,Added,,,
profile_notes,P0973 | Retraction,Added,,,
profile_notes,P0974 | Speed,Added,,,
profile_notes,P0974 | Retraction,Added,,,
profiles,P0969,Added,,,
profiles,P0970,Added,,,
profiles,P0971,Added,,,
profiles,P0972,Added,,,
profiles,P0973,Added,,,
profiles,P0974,Added,,,
sources,I-PLA-PLA-Silk-Dual-Color-TDS,Added,,,
sources,I-PLA-PCL-TDS,Added,,,
sources,I-PLA-HDPE-GF-TDS,Added,,,
sources,I-PLA-ABS-TDS,Added,,,
sources,I-PLA-PDS-TDS,Added,,,
sources,I-PLA-PLA-i5-TDS,Added,,,
sources,I-PLA-PA12-CF-TDS,Added,,,
