Verdict,Note,By,MeasurementID,batch,Manufacturer,Product,Property,Direction,Raw value,Normalized value,Standard / load,Locator,SourceID,URL,Document,Page images
,,,V006953,b12,3D4Makers,PPSU,Impact strength,Not applicable,399 kJ/m2,399 kJ/m²,3.18 mm THERMAL ASTM D1822,p. 1: IMPACT Tensile Impact Strength 3.18 mm ASTM D1822 THERMAL,R-3D4MAKERS-TDS-PPSU-Filament,https://cdn.shopify.com/s/files/1/0762/2839/files/TDS_PPSU_Filament.pdf?18114236648998660260,.cache/sources/by-sha/6a27706435a10a4f4c70cc6b9919faa0c717a8f68ed6f1df30dca93604b058e8.pdf,
,,,V006597,b12,3D4Makers,PLLA,Flexural modulus,Unstated,3350 MPa,3.35 GPa,ISO 178,p. 1: Flexural Modulus ISO 178,R-3D4MAKERS-TDS-PLLA-Filament,https://cdn.shopify.com/s/files/1/0762/2839/files/TDS_PLLA_Filament.pdf?v=1645387222,.cache/sources/by-sha/06cd4faad737d15a3bb66c8092777de41e74cf1b695ebd8d190c343de9b355ef.pdf,
,,,V007140,b12,3D4Makers,PETG,Tensile yield strength,Unstated,53 MPa,53 MPa,ISO 527-2,p. 1: Tensile Yield stress ISO 527-2,R-3D4MAKERS-TDS-PETG-Filament,https://cdn.shopify.com/s/files/1/0762/2839/files/TDS_PETG_Filament.pdf?11366335339713838866,.cache/sources/by-sha/a04e868e10468afb8e0859df246c768a37fde4322826073b93ab960b02a4887e.pdf,
,,,V007426,b12,3D4Makers,PEEK,Compression strength,Unstated,130 MPa,130 MPa,23 °C ISO 604,p. 1: Compressive Strength 23 °C ISO 604,R-3D4MAKERS-TDS-PEEK-Filament-1,https://cdn.shopify.com/s/files/1/0762/2839/files/TDS_PEEK_Filament_1.pdf?5159116558357548495,.cache/sources/by-sha/f38232700249605ac5e00c47b606d3e336596e47bbc393c132fd0ae44b727667.pdf,
,,,V007171,b12,NinjaTek,Armadillo,Elongation at yield,Unstated,18 %,18 %,ASTM D638,p. 1: Elongation at Yield ASTM D638,R-NINJATEK-Armadillo-TDS,https://ninjatek.com/wp-content/uploads/Armadillo-TDS.pdf,.cache/sources/by-sha/a8d1bf4b60626fb7e668179adb1432a8e873106c527f78c696503e7eb7852c24.pdf,
,,,V007159,b12,3D4Makers,LUVOCOM 3F PPS CF 9938 BK,Tensile strain at strength,Unstated,"1,6 %",1.6 %,50 mm/min MPTS A ISO 527 ISO 3167,"p. 1: Elongation at maximum force dry, @50 mm/min ISO 527 MPTS ISO 3167 A %",R-3D4MAKERS-TDS-pps-cf-9938-bk-filament-en-iso,https://cdn.shopify.com/s/files/1/0762/2839/files/TDS_pps-cf-9938-bk-filament_en_iso.pdf?v=1622387081,.cache/sources/by-sha/a17d96e9e9e5b77453f191dbd59a4ad0e964a472a9c28a27be627edd91dfb31a.pdf,
,,,V007138,b12,3D4Makers,PETG,Water absorption,Not applicable,0.12 %,0.12 %,ASTM D570,p. 1: Water Absorption ASTM D570,R-3D4MAKERS-TDS-PETG-Filament,https://cdn.shopify.com/s/files/1/0762/2839/files/TDS_PETG_Filament.pdf?11366335339713838866,.cache/sources/by-sha/a04e868e10468afb8e0859df246c768a37fde4322826073b93ab960b02a4887e.pdf,
,,,V006886,b12,3D4Makers,PEI Filament Ultem 1010,Oxygen index,Not applicable,47 %,47 %,ISO 4589-2,p. 3: Oxygen Index ISO 4589-2,R-3D4MAKERS-TDS-PEI-ULTEM-1010,https://cdn.shopify.com/s/files/1/0762/2839/files/TDS_PEI_ULTEM_1010.pdf?5589548939196691641,.cache/sources/by-sha/51920bd5d79d8780fb6c64d016716c79972fa0b7164449481889d1387d1ce95f.pdf,
,,,V007081,b12,Yousu,Modified ABS 3D FILMAENT Revision Date: 21/12/2020,Melt mass-flow rate,Not applicable,2.6 g/10min,2.6 g/10 min,10min GB/T 3682-2000,p. 1: Melt Flow Rate GB/T 3682-2000 g/10min,R-YOUSU-YOUSUABSTDS-cc2f,https://ysfilament.com/u_file/2206/14/file/YOUSUABSTDS-cc2f.pdf,.cache/sources/by-sha/96f30cf4a71144e2988fcaf7a8f185fb46cd1a5eca56728f545d7dc69857067d.pdf,
,,,V007459,b12,3D-Fuel,Workday ABS,HDT,Not applicable,86 °C,86 °C,6.4mm 18.6 kg,"p. 1: Heat Deflection Temperature, 6.4mm 18.6 kg",R-3D-FUEL-TDS-3DFuel-Workday-ABS,https://cdn.shopify.com/s/files/1/0027/5339/6848/files/TDS-3DFuel-Workday-ABS.pdf,.cache/sources/by-sha/fd685bba19e48696b4c153a423fc3c83df18334cd8d6d58b0f47913699967a07.pdf,
,,,V006610,b12,Raise3D,Industrial PA12 CF,Moisture content,Not applicable,0.6 %,0.6 %,Not published,p. 1: Moisture content (%) Thermogravimetric,D-RAISE3D-Raise3D-Industrial-PA12-CF-TDS-V3-0-0b3967,https://s1.raise3d.com/2022/03/Raise3D-Industrial-PA12-CF_TDS-V3.0.pdf,.cache/sources/by-sha/0b3967cbfd3e1559b9fd79b150700a4e82fabf6c729a2a7e42a8ce800a4003f5.pdf,
,,,V006919,b12,3D4Makers,LUVOCOM 3F PEI 50236 GY,Continuous service temperature,Not applicable,170 °C,170 °C,20.000 h MPTS A IEC 60216 ISO 3167,p. 1: Continuous service temperature 20.000 h IEC 60216 MPTS ISO 3167 A °C,R-3D4MAKERS-TDS-LUVOCOM-3F-PEI-50236-GY-Filament-3D-printing,https://cdn.shopify.com/s/files/1/0762/2839/files/TDS_LUVOCOM_3F_PEI_50236_GY_Filament_3D_printing.pdf?v=1652788890,.cache/sources/by-sha/5dd2f854b9449695f169ce5b906dc965191b21073110caebbb1c19540a15eb2c.pdf,
,,,V006897,b12,BigRep,TPU 98A,Hardness,Not applicable,98,98 Shore A,3s ISO 7619-1,"p. 1: Shore Hardness, 3s (ISO 7619-1)",R-BIGREP-EbCK6vuDEMZAre3SgyY8Y2IBbx5LFjMs5Zw5lH43SKl3iw,https://bigrepgmbh.sharepoint.com/:b:/g/EbCK6vuDEMZAre3SgyY8Y2IBbx5LFjMs5Zw5lH43SKl3iw?e=zevDrI,.cache/sources/by-sha/549100251882d43ec0b1c6474e23c85e62b5d76d2eef782c2ab1ec6a3dad3980.pdf,
,,,V006924,b12,Raise3D,Industrial PET GF,Tensile modulus,Z,3322 ± 94 MPa,3.322 GPa,ISO 527 GB/T 1040,"p. 1: Young’s modulus (Z) ISO 527, GB/T 1040",D-RAISE3D-Raise3D-Industrial-PET-GF-TDS-V1,https://s1.raise3d.com/2023/03/Raise3D-Industrial-PET-GF_TDS_V1.pdf,.cache/sources/by-sha/60133aabd3b040353bf2f9f63f6f1fc81fde21668126ab1c3ee6f20718f3ccda.pdf,
,,,V006708,b12,3D4Makers,ABSKevlar,Density,Not applicable,1.05 g/cm³,1050 kg/m³,ISO1183,p. 1: Density,R-3D4MAKERS-TDS-ABS-Kevlar-filament-3D4Makers-V1,https://cdn.shopify.com/s/files/1/0762/2839/files/TDS_ABS_Kevlar_filament_3D4Makers_V1.pdf?v=1738753952,.cache/sources/by-sha/1d03dc9410ac92df335422f9dc8100e8be08def354407d8b67be00373bf4a09e.pdf,
,,,V006983,b12,eSUN,PLA+HS,Izod impact strength,Z,2.41 KJ/m²,2.41 kJ/m²,GB/T 1843,p. 2: IZOD Impact Strength (Z) GB/T 1843,S-PEBA-PLA-HS-TDS,https://shop3d.ca/cdn/shop/files/PLA_HS-TDS.pdf?v=11995191043731806973,.cache/sources/by-sha/70c47435ed73f5057e76741ba3ad8fe6a83f07f057c159150efc563cc6601987.pdf,
,,,V007082,b12,Yousu,Modified ABS 3D FILMAENT Revision Date: 21/12/2020,Mould shrinkage,Unstated,0.4-0.6 %,0.4 %,GB/T 17037.4-2003,p. 1: Mold Shrinkage GB/T 17037.4-2003 %,R-YOUSU-YOUSUABSTDS-cc2f,https://ysfilament.com/u_file/2206/14/file/YOUSUABSTDS-cc2f.pdf,.cache/sources/by-sha/96f30cf4a71144e2988fcaf7a8f185fb46cd1a5eca56728f545d7dc69857067d.pdf,
,,,V006881,b12,3D4Makers,PEI Filament Ultem 1010,Vicat softening temperature,Not applicable,212 °C,212 °C,ISO 306/B120,p. 2: Vicat Softening Temperature ISO 306/B120,R-3D4MAKERS-TDS-PEI-ULTEM-1010,https://cdn.shopify.com/s/files/1/0762/2839/files/TDS_PEI_ULTEM_1010.pdf?5589548939196691641,.cache/sources/by-sha/51920bd5d79d8780fb6c64d016716c79972fa0b7164449481889d1387d1ce95f.pdf,
,,,V007303,b12,3D-Fuel,Pro PETG,Tensile break strength,Unstated,30 MPa,30 MPa,ISO 527,p. 3: Tensile Strength @ Break ISO 527 MPa,R-3D-FUEL-3D-Fuel-Pro-PETG-9-22-25,https://cdn.shopify.com/s/files/1/0027/5339/6848/files/3D_Fuel_Pro_PETG_9-22-25.pdf?v=1758582495,.cache/sources/by-sha/cdcb9378f37d979cca7369f0e319a9cbe324050923f769bd5e73fbb2fc45c5cd.pdf,
