table,record,action,field,before,after
coverage,C00010,Edited,Status,Gap,Superseded
coverage,C00010,Edited,Manufacturer count,2,Not applicable
coverage,C00010,Edited,Finding,"2 distinct manufacturer(s) documented against target 3. Other sampled sources were missing, inaccessible, insufficiently specific, or not selected as independent formulations.","Superseded by C01216 (2026-09-18; was ""Gap""): 2 distinct manufacturer(s) documented against target 3. Other sampled sources were missing, inaccessible, insufficiently specific, or not selected as independent formulations."
coverage,C00027,Edited,Status,Gap,Superseded
coverage,C00027,Edited,Manufacturer count,1,Not applicable
coverage,C00027,Edited,Finding,"1 distinct manufacturer(s) documented against target 3. Other sampled sources were missing, inaccessible, insufficiently specific, or not selected as independent formulations.","Superseded by C01217 (2026-09-18; was ""Gap""): 1 distinct manufacturer(s) documented against target 3. Other sampled sources were missing, inaccessible, insufficiently specific, or not selected as independent formulations."
coverage,C01216,Added,,,
coverage,C01217,Added,,,
grades,G104-01,Added,,,
grades,G039-04,Added,,,
grades,G105-01,Added,,,
grades,G106-01,Added,,,
grades,G039-05,Added,,,
grades,G001-06,Added,,,
grades,G001-07,Added,,,
grades,G027-03,Added,,,
grades,G031-03,Added,,,
grades,G107-01,Added,,,
grades,G039-06,Added,,,
grades,G033-04,Added,,,
grades,G020-07,Added,,,
grades,G017-02,Added,,,
grades,G020-08,Added,,,
grades,G108-01,Added,,,
grades,G001-08,Added,,,
grades,G001-09,Added,,,
grades,G035-03,Added,,,
grades,G027-04,Added,,,
grades,G008-03,Added,,,
grades,G001-10,Added,,,
grades,G066-02,Added,,,
grades,G109-01,Added,,,
grades,G110-01,Added,,,
grades,G050-04,Added,,,
grades,G001-11,Added,,,
grades,G001-12,Added,,,
grades,G020-09,Added,,,
grades,G039-07,Added,,,
grades,G001-13,Added,,,
grades,G049-03,Added,,,
grades,G031-04,Added,,,
grades,G027-05,Added,,,
grades,G049-04,Added,,,
grades,G018-02,Added,,,
grades,G001-14,Added,,,
grades,G067-03,Added,,,
grades,G032-02,Added,,,
grades,G039-08,Added,,,
grades,G111-01,Added,,,
grades,G112-01,Added,,,
grades,G039-09,Added,,,
grades,G020-10,Added,,,
grades,G020-11,Added,,,
grades,G024-04,Added,,,
grades,G018-03,Added,,,
grades,G001-15,Added,,,
grades,G001-16,Added,,,
