table,record,action,field,before,after
coverage,C01296,Edited,Status,Resolved,Superseded
coverage,C01296,Edited,Manufacturer count,8,Not applicable
coverage,C01296,Edited,Finding,"8 distinct manufacturer(s) documented against target 3: 3DXTECH, Eryone, Extrudr, Nanovia, SIDDAMENT, Siraya Tech, eSUN, iSANMATE. Recounted 2026-09-20 (m91-batch-b20) after the grades this batch added.","Superseded by C01298 (2026-09-20; was ""Resolved""): 8 distinct manufacturer(s) documented against target 3: 3DXTECH, Eryone, Extrudr, Nanovia, SIDDAMENT, Siraya Tech, eSUN, iSANMATE. Recounted 2026-09-20 (m91-batch-b20) after the grades this batch added."
coverage,C01298,Added,,,
grades,G001-152,Added,,,
grades,G073-07,Added,,,
grades,G027-40,Added,,,
grades,G071-05,Added,,,
grades,G027-41,Added,,,
grades,G067-07,Added,,,
grades,G001-153,Added,,,
grades,G001-154,Added,,,
grades,G024-20,Added,,,
grades,G029-09,Added,,,
grades,G001-155,Added,,,
measurements,V009312,Added,,,
measurements,V009313,Added,,,
measurements,V009314,Added,,,
measurements,V009315,Added,,,
measurements,V009316,Added,,,
measurements,V009317,Added,,,
measurements,V009318,Added,,,
measurements,V009319,Added,,,
measurements,V009320,Added,,,
measurements,V009321,Added,,,
measurements,V009322,Added,,,
measurements,V009323,Added,,,
measurements,V009324,Added,,,
measurements,V009325,Added,,,
measurements,V009326,Added,,,
measurements,V009327,Added,,,
measurements,V009328,Added,,,
measurements,V009329,Added,,,
measurements,V009330,Added,,,
measurements,V009331,Added,,,
measurements,V009332,Added,,,
measurements,V009333,Added,,,
measurements,V009334,Added,,,
measurements,V009335,Added,,,
measurements,V009336,Added,,,
measurements,V009337,Added,,,
measurements,V009338,Added,,,
measurements,V009339,Added,,,
measurements,V009340,Added,,,
measurements,V009341,Added,,,
profile_notes,P0910 | Speed,Added,,,
profile_notes,P0910 | Retraction,Added,,,
profile_notes,P0911 | Speed,Added,,,
profile_notes,P0911 | Retraction,Added,,,
profile_notes,P0914 | Shell / walls,Added,,,
profile_notes,P0914 | Speed,Added,,,
profile_notes,P0914 | Layer height,Added,,,
profile_notes,P0920 | Shell / walls,Added,,,
profile_notes,P0920 | Speed,Added,,,
profile_notes,P0920 | Layer height,Added,,,
profiles,P0907,Added,,,
profiles,P0908,Added,,,
profiles,P0909,Added,,,
profiles,P0910,Added,,,
profiles,P0911,Added,,,
profiles,P0912,Added,,,
profiles,P0913,Added,,,
profiles,P0914,Added,,,
profiles,P0915,Added,,,
profiles,P0916,Added,,,
profiles,P0917,Added,,,
profiles,P0918,Added,,,
profiles,P0919,Added,,,
profiles,P0920,Added,,,
sources,D-RAISE3D-Raise3D-Hyper-Speed-PLA-Pro-TDS-V1-0-1,Added,,,
sources,D-RAISE3D-Raise3D-Industrial-PPS-CF-TDS-V1-1,Added,,,
sources,D-RAISE3D-Raise3D-Premium-ABS-TDS-V7-2,Added,,,
sources,D-RAISE3D-Raise3D-Hyper-Core-PPA-GF25-TDS-V1-1,Added,,,
sources,R-3DJAKE-ABS-P-TDS-1,Added,,,
sources,D-RAISE3D-Raise3D-Hyper-Speed-PET-CF-TDS-V1-0,Added,,,
sources,R-3DJAKE-PLA-TDS-7,Added,,,
sources,R-MARKFORGED-Precise-PLA-TDS-REV-3-11-22,Added,,,
sources,D-RAISE3D-Raise3D-Hyper-Speed-PETG-CF-TDS-V1-0,Added,,,
sources,D-RAISE3D-Raise3D-Hyper-Core-ABS-CF15-TDS-V1-0,Added,,,
sources,D-RAISE3D-Raise3D-Hyper-Speed-PLA-Filament-TDS-V4-0-EN,Added,,,
sources,R-3DJAKE-PLA-TDS,Added,,,
