table,record,action,field,before,after
coverage,C01309,Edited,Status,Resolved,Superseded
coverage,C01309,Edited,Manufacturer count,26,Not applicable
coverage,C01309,Edited,Finding,"26 distinct manufacturer(s) documented against target 3: 3DJake, Anycubic, BigRep, Eryone, Essentium, Extrudr, Fabru / purefil, Fillamentum, Flashforge, FormFutura, MatterHackers, Nanovia, NinjaTek, Polymaker, Prusa Research, QIDI, Raise3D, Recreus, SIDDAMENT, SUNLU, Siraya Tech, Spectrum, The Filament, colorFabb, eSUN, iSANMATE. Recounted 2026-09-21 (m113) after Siraya Tech’s Flex TPU grades were re-filed from TPU-CF to TPU.","Superseded by C01325 (2026-09-21; was ""Resolved""): 26 distinct manufacturer(s) documented against target 3: 3DJake, Anycubic, BigRep, Eryone, Essentium, Extrudr, Fabru / purefil, Fillamentum, Flashforge, FormFutura, MatterHackers, Nanovia, NinjaTek, Polymaker, Prusa Research, QIDI, Raise3D, Recreus, SIDDAMENT, SUNLU, Siraya Tech, Spectrum, The Filament, colorFabb, eSUN, iSANMATE. Recounted 2026-09-21 (m113) after Siraya Tech’s Flex TPU grades were re-filed from TPU-CF to TPU."
coverage,C01320,Edited,Status,Resolved,Superseded
coverage,C01320,Edited,Manufacturer count,7,Not applicable
coverage,C01320,Edited,Finding,"7 distinct manufacturer(s) documented against target 3: 3D4Makers, 3DXTECH, Fiberlogy, LEHVOSS, Prusa Research, Stratasys, iSANMATE. Recounted 2026-09-21 (m121-batch-b27) after the grades this batch added.","Superseded by C01324 (2026-09-21; was ""Resolved""): 7 distinct manufacturer(s) documented against target 3: 3D4Makers, 3DXTECH, Fiberlogy, LEHVOSS, Prusa Research, Stratasys, iSANMATE. Recounted 2026-09-21 (m121-batch-b27) after the grades this batch added."
coverage,C01324,Added,,,
coverage,C01325,Added,,,
coverage,C01326,Added,,,
coverage,C01327,Added,,,
coverage,C01328,Added,,,
coverage,C01329,Added,,,
coverage,C01330,Added,,,
coverage,C01331,Added,,,
coverage,C01332,Added,,,
coverage,C01333,Added,,,
grades,G001-190,Added,,,
grades,G008-30,Added,,,
grades,G008-31,Added,,,
grades,G001-191,Added,,,
grades,G099-12,Added,,,
grades,G099-13,Added,,,
grades,G037-10,Added,,,
grades,G001-192,Added,,,
grades,G016-05,Added,,,
grades,G020-72,Added,,,
grades,G008-32,Added,,,
grades,G016-06,Added,,,
grades,G039-70,Added,,,
grades,G001-193,Added,,,
grades,G008-33,Added,,,
grades,G001-194,Added,,,
grades,G081-12,Added,,,
grades,G012-07,Added,,,
grades,G001-195,Added,,,
grades,G113-03,Added,,,
grades,G016-07,Added,,,
grades,G014-19,Added,,,
sources,S-PET-TDS-MagicFil-Thermo-PLA,Added,,,
sources,S-PEBA-eSUN-ePLA-Silk-Magic-Filament-TDS-V4-02,Added,,,
sources,S-PEBA-eSUN-ePLA-Silk-Mystic-Filament-TDS-V4-0,Added,,,
sources,R-ERYONE-eryone-standard-pla-tds,Added,,,
sources,R-NANOVIA-PEI-Ultem-1010,Added,,,
sources,S-PET-TDS-PEI-ULTEM-9085,Added,,,
sources,S-PVB-TDS-Prusament-PCCF-2023-EN,Added,,,
sources,R-3DJAKE-KINGROON-PLA-Basic-Technical-Data-Sheet-V1-0,Added,,,
sources,S-SPECTRUM-EN-TDS-Spectrum-PLA-Glow-in-the-Dark-0,Added,,,
sources,R-3DJAKE-KINGROON-PETG-Basic-Technical-Data-Sheet-V1-0,Added,,,
sources,I-PLA-PLA-Silk-TDS,Added,,,
sources,S-PEBA-eSUN-PLA-Luminous-Filament-TDS-V4-01,Added,,,
sources,R-3DJAKE-KINGROON-TPU-95A-Technical-Data-Sheet-V1-0,Added,,,
sources,S-PEBA-eSUN-eTwinkling-Filament-TDS-V4-0,Added,,,
sources,R-3DJAKE-SILK-TDS-4,Added,,,
sources,S-PET-TDS-ReForm-rPLA,Added,,,
sources,S-PET-TDS-LimoSolve,Added,,,
sources,S-SPECTRUM-de-tds-spectrum-pla-stone-age,Added,,,
sources,R-YOUSU-YOUSUPLATDS-8e09,Added,,,
sources,R-FIBERLOGY-FIBERLOGY-ASA-AF-TDS,Added,,,
sources,S-PEBA-eSUN-Luminous-PLA-Rainbow-Filament-TDS-V4-01,Added,,,
sources,R-ERYONE-eryone-wood-pla-tds,Added,,,
