table,record,action,field,before,after
coverage,C00049,Edited,Status,Gap,Superseded
coverage,C00049,Edited,Manufacturer count,1,Not applicable
coverage,C00049,Edited,Finding,"1 distinct manufacturer(s) documented against target 3. Other sampled sources were missing, inaccessible, insufficiently specific, or not selected as independent formulations.","Superseded by C01250 (2026-09-19; was ""Gap""): 1 distinct manufacturer(s) documented against target 3. Other sampled sources were missing, inaccessible, insufficiently specific, or not selected as independent formulations."
coverage,C01210,Edited,Status,Gap,Superseded
coverage,C01210,Edited,Manufacturer count,2,Not applicable
coverage,C01210,Edited,Finding,"2 distinct manufacturer(s) documented against target 3. FormFutura STYX PA6 (G049-02) added 2026-09-16 (m37): unfilled, direction and specimen not stated; Spectrum PA6 Neat (G049-01) stays the representative grade.","Superseded by C01247 (2026-09-19; was ""Gap""): 2 distinct manufacturer(s) documented against target 3. FormFutura STYX PA6 (G049-02) added 2026-09-16 (m37): unfilled, direction and specimen not stated; Spectrum PA6 Neat (G049-01) stays the representative grade."
coverage,C01239,Edited,Status,Resolved,Superseded
coverage,C01239,Edited,Manufacturer count,4,Not applicable
coverage,C01239,Edited,Finding,"4 distinct manufacturer(s) documented against target 3: Fabru / purefil, SUNLU, Spectrum, iSANMATE. Recounted 2026-09-19 (m72-batch-b09) after the grades this batch added.","Superseded by C01248 (2026-09-19; was ""Resolved""): 4 distinct manufacturer(s) documented against target 3: Fabru / purefil, SUNLU, Spectrum, iSANMATE. Recounted 2026-09-19 (m72-batch-b09) after the grades this batch added."
coverage,C01242,Edited,Status,Resolved,Superseded
coverage,C01242,Edited,Manufacturer count,3,Not applicable
coverage,C01242,Edited,Finding,"3 distinct manufacturer(s) documented against target 3: 3DXTECH, Fabru / purefil, Spectrum. Recounted 2026-09-19 (m72-batch-b09) after the grades this batch added.","Superseded by C01251 (2026-09-19; was ""Resolved""): 3 distinct manufacturer(s) documented against target 3: 3DXTECH, Fabru / purefil, Spectrum. Recounted 2026-09-19 (m72-batch-b09) after the grades this batch added."
coverage,C01246,Edited,Status,Resolved,Superseded
coverage,C01246,Edited,Manufacturer count,9,Not applicable
coverage,C01246,Edited,Finding,"9 distinct manufacturer(s) documented against target 3: Eryone, Extrudr, Fabru / purefil, Flashforge, Polymaker, SUNLU, Spectrum, colorFabb, iSANMATE. Recounted 2026-09-19 (m72-batch-b09) after the grades this batch added.","Superseded by C01249 (2026-09-19; was ""Resolved""): 9 distinct manufacturer(s) documented against target 3: Eryone, Extrudr, Fabru / purefil, Flashforge, Polymaker, SUNLU, Spectrum, colorFabb, iSANMATE. Recounted 2026-09-19 (m72-batch-b09) after the grades this batch added."
coverage,C01247,Added,,,
coverage,C01248,Added,,,
coverage,C01249,Added,,,
coverage,C01250,Added,,,
coverage,C01251,Added,,,
grades,G049-05,Added,,,
grades,G033-09,Added,,,
grades,G082-07,Added,,,
grades,G001-64,Added,,,
grades,G020-28,Added,,,
grades,G039-29,Added,,,
grades,G050-09,Added,,,
grades,G031-14,Added,,,
grades,G027-19,Added,,,
grades,G039-30,Added,,,
grades,G096-02,Added,,,
grades,G135-02,Added,,,
grades,G094-06,Added,,,
grades,G001-65,Added,,,
grades,G081-04,Added,,,
measurements,V006010,Added,,,
measurements,V006011,Added,,,
measurements,V006012,Added,,,
measurements,V006013,Added,,,
measurements,V006014,Added,,,
measurements,V006015,Added,,,
measurements,V006016,Added,,,
measurements,V006017,Added,,,
measurements,V006018,Added,,,
measurements,V006019,Added,,,
measurements,V006020,Added,,,
measurements,V006021,Added,,,
measurements,V006022,Added,,,
measurements,V006023,Added,,,
measurements,V006024,Added,,,
measurements,V006025,Added,,,
measurements,V006026,Added,,,
measurements,V006027,Added,,,
measurements,V006028,Added,,,
measurements,V006029,Added,,,
measurements,V006030,Added,,,
measurements,V006031,Added,,,
measurements,V006032,Added,,,
measurements,V006033,Added,,,
measurements,V006034,Added,,,
measurements,V006035,Added,,,
measurements,V006036,Added,,,
measurements,V006037,Added,,,
measurements,V006038,Added,,,
measurements,V006039,Added,,,
measurements,V006040,Added,,,
measurements,V006041,Added,,,
measurements,V006042,Added,,,
measurements,V006043,Added,,,
measurements,V006044,Added,,,
measurements,V006045,Added,,,
measurements,V006046,Added,,,
measurements,V006047,Added,,,
measurements,V006048,Added,,,
measurements,V006049,Added,,,
measurements,V006050,Added,,,
measurements,V006051,Added,,,
measurements,V006052,Added,,,
measurements,V006053,Added,,,
measurements,V006054,Added,,,
measurements,V006055,Added,,,
measurements,V006056,Added,,,
measurements,V006057,Added,,,
measurements,V006058,Added,,,
measurements,V006059,Added,,,
measurements,V006060,Added,,,
measurements,V006061,Added,,,
measurements,V006062,Added,,,
measurements,V006063,Added,,,
measurements,V006064,Added,,,
measurements,V006065,Added,,,
measurements,V006066,Added,,,
measurements,V006067,Added,,,
measurements,V006068,Added,,,
measurements,V006069,Added,,,
measurements,V006070,Added,,,
measurements,V006071,Added,,,
measurements,V006072,Added,,,
measurements,V006073,Added,,,
measurements,V006074,Added,,,
measurements,V006075,Added,,,
measurements,V006076,Added,,,
measurements,V006077,Added,,,
measurements,V006078,Added,,,
measurements,V006079,Added,,,
measurements,V006080,Added,,,
measurements,V006081,Added,,,
measurements,V006082,Added,,,
measurements,V006083,Added,,,
measurements,V006084,Added,,,
measurements,V006085,Added,,,
measurements,V006086,Added,,,
measurements,V006087,Added,,,
measurements,V006088,Added,,,
measurements,V006089,Added,,,
measurements,V006090,Added,,,
measurements,V006091,Added,,,
measurements,V006092,Added,,,
measurements,V006093,Added,,,
measurements,V006094,Added,,,
measurements,V006095,Added,,,
measurements,V006096,Added,,,
measurements,V006097,Added,,,
measurements,V006098,Added,,,
measurements,V006099,Added,,,
measurements,V006100,Added,,,
measurements,V006101,Added,,,
measurements,V006102,Added,,,
measurements,V006103,Added,,,
measurements,V006104,Added,,,
measurements,V006105,Added,,,
measurements,V006106,Added,,,
measurements,V006107,Added,,,
measurements,V006108,Added,,,
measurements,V006109,Added,,,
measurements,V006110,Added,,,
measurements,V006111,Added,,,
measurements,V006112,Added,,,
measurements,V006113,Added,,,
measurements,V006114,Added,,,
measurements,V006115,Added,,,
measurements,V006116,Added,,,
measurements,V006117,Added,,,
measurements,V006118,Added,,,
measurements,V006119,Added,,,
measurements,V006120,Added,,,
measurements,V006121,Added,,,
measurements,V006122,Added,,,
measurements,V006123,Added,,,
measurements,V006124,Added,,,
measurements,V006125,Added,,,
measurements,V006126,Added,,,
measurements,V006127,Added,,,
measurements,V006128,Added,,,
measurements,V006129,Added,,,
measurements,V006130,Added,,,
measurements,V006131,Added,,,
measurements,V006132,Added,,,
measurements,V006133,Added,,,
measurements,V006134,Added,,,
measurements,V006135,Added,,,
measurements,V006136,Added,,,
measurements,V006137,Added,,,
measurements,V006138,Added,,,
measurements,V006139,Added,,,
measurements,V006140,Added,,,
profile_notes,P0531 | Speed,Added,,,
profile_notes,P0533 | Speed,Added,,,
profile_notes,P0533 | Cooling,Added,,,
profile_notes,P0535 | Adhesion / release,Added,,,
