table,record,action,field,before,after
coverage,C00016,Edited,Status,Gap,Superseded
coverage,C00016,Edited,Manufacturer count,1,Not applicable
coverage,C00016,Edited,Finding,"1 distinct manufacturer(s) documented against target 3. Other sampled sources were missing, inaccessible, insufficiently specific, or not selected as independent formulations.","Superseded by C01316 (2026-09-21; was ""Gap""): 1 distinct manufacturer(s) documented against target 3. Other sampled sources were missing, inaccessible, insufficiently specific, or not selected as independent formulations."
coverage,C00044,Edited,Status,Gap,Superseded
coverage,C00044,Edited,Manufacturer count,2,Not applicable
coverage,C00044,Edited,Finding,"2 distinct manufacturer(s) documented against target 3. Other sampled sources were missing, inaccessible, insufficiently specific, or not selected as independent formulations.","Superseded by C01317 (2026-09-21; was ""Gap""): 2 distinct manufacturer(s) documented against target 3. Other sampled sources were missing, inaccessible, insufficiently specific, or not selected as independent formulations."
coverage,C01202,Edited,Status,Gap,Superseded
coverage,C01202,Edited,Manufacturer count,2,Not applicable
coverage,C01202,Edited,Finding,"2 distinct manufacturer(s) documented against target 3. Forward AM Ultrafuse BVOH (G076-02) added 2026-09-16 (m35) with printed XY, XZ and ZX values.","Superseded by C01311 (2026-09-21; was ""Gap""): 2 distinct manufacturer(s) documented against target 3. Forward AM Ultrafuse BVOH (G076-02) added 2026-09-16 (m35) with printed XY, XZ and ZX values."
coverage,C01229,Edited,Status,Resolved,Superseded
coverage,C01229,Edited,Manufacturer count,3,Not applicable
coverage,C01229,Edited,Finding,"3 distinct manufacturer(s) documented against target 3: Polymaker, Prusa Research, SUNLU. Recounted 2026-09-19 (m65-batch-b08-sunlu) after the grades this batch added.","Superseded by C01314 (2026-09-21; was ""Resolved""): 3 distinct manufacturer(s) documented against target 3: Polymaker, Prusa Research, SUNLU. Recounted 2026-09-19 (m65-batch-b08-sunlu) after the grades this batch added."
coverage,C01236,Edited,Status,Gap,Superseded
coverage,C01236,Edited,Manufacturer count,2,Not applicable
coverage,C01236,Edited,Finding,"2 distinct manufacturer(s) documented against target 3: Fiberlogy, Fillamentum. Recounted 2026-09-19 (m72-batch-b09) after the grades this batch added.","Superseded by C01310 (2026-09-21; was ""Gap""): 2 distinct manufacturer(s) documented against target 3: Fiberlogy, Fillamentum. Recounted 2026-09-19 (m72-batch-b09) after the grades this batch added."
coverage,C01250,Edited,Status,Gap,Superseded
coverage,C01250,Edited,Manufacturer count,2,Not applicable
coverage,C01250,Edited,Finding,"2 distinct manufacturer(s) documented against target 3: 3DXTECH, Fillamentum. Recounted 2026-09-19 (m76-batch-b10) after the grades this batch added.","Superseded by C01315 (2026-09-21; was ""Gap""): 2 distinct manufacturer(s) documented against target 3: 3DXTECH, Fillamentum. Recounted 2026-09-19 (m76-batch-b10) after the grades this batch added."
coverage,C01285,Edited,Status,Resolved,Superseded
coverage,C01285,Edited,Manufacturer count,6,Not applicable
coverage,C01285,Edited,Finding,"6 distinct manufacturer(s) documented against target 3: Fillamentum, Kimya, QIDI, Spectrum, colorFabb, eSUN. Recounted 2026-09-20 (m86-batch-b16) after the grades this batch added.","Superseded by C01312 (2026-09-21; was ""Resolved""): 6 distinct manufacturer(s) documented against target 3: Fillamentum, Kimya, QIDI, Spectrum, colorFabb, eSUN. Recounted 2026-09-20 (m86-batch-b16) after the grades this batch added."
coverage,C01306,Edited,Status,Resolved,Superseded
coverage,C01306,Edited,Manufacturer count,8,Not applicable
coverage,C01306,Edited,Finding,"8 distinct manufacturer(s) documented against target 3: 3DXTECH, Fabru / purefil, Fillamentum, FormFutura, Nanovia, Spectrum, Stratasys, eSUN. Recounted 2026-09-21 (m110-batch-b28) after the grades this batch added.","Superseded by C01313 (2026-09-21; was ""Resolved""): 8 distinct manufacturer(s) documented against target 3: 3DXTECH, Fabru / purefil, Fillamentum, FormFutura, Nanovia, Spectrum, Stratasys, eSUN. Recounted 2026-09-21 (m110-batch-b28) after the grades this batch added."
coverage,C01310,Added,,,
coverage,C01311,Added,,,
coverage,C01312,Added,,,
coverage,C01313,Added,,,
coverage,C01314,Added,,,
coverage,C01315,Added,,,
coverage,C01316,Added,,,
coverage,C01317,Added,,,
grades,G150-01,Added,,,
grades,G075-05,Added,,,
grades,G089-03,Added,,,
grades,G076-03,Added,,,
grades,G075-06,Added,,,
grades,G014-16,Added,,,
grades,G001-171,Added,,,
grades,G014-17,Added,,,
grades,G001-172,Added,,,
grades,G045-08,Added,,,
grades,G081-09,Added,,,
grades,G020-65,Added,,,
grades,G018-19,Added,,,
grades,G077-02,Added,,,
grades,G150-02,Added,,,
grades,G001-173,Added,,,
grades,G053-14,Added,,,
grades,G151-01,Added,,,
grades,G093-04,Added,,,
grades,G001-174,Added,,,
grades,G150-03,Added,,,
grades,G149-02,Added,,,
grades,G080-02,Added,,,
grades,G001-175,Added,,,
grades,G081-10,Added,,,
grades,G001-176,Added,,,
grades,G096-03,Added,,,
grades,G149-03,Added,,,
grades,G001-177,Added,,,
grades,G075-07,Added,,,
grades,G053-15,Added,,,
grades,G001-178,Added,,,
grades,G075-08,Added,,,
grades,G093-05,Added,,,
grades,G152-01,Added,,,
grades,G045-09,Added,,,
grades,G001-179,Added,,,
grades,G152-02,Added,,,
grades,G075-09,Added,,,
grades,G054-02,Added,,,
grades,G035-25,Added,,,
grades,G153-01,Added,,,
grades,G075-10,Added,,,
grades,G149-04,Added,,,
grades,G080-03,Added,,,
grades,G014-18,Added,,,
grades,G154-01,Added,,,
grades,G090-03,Added,,,
grades,G155-01,Added,,,
grades,G156-01,Added,,,
grades,G020-66,Added,,,
grades,G045-10,Added,,,
grades,G155-02,Added,,,
grades,G157-01,Added,,,
grades,G001-180,Added,,,
grades,G137-03,Added,,,
grades,G075-11,Added,,,
grades,G089-04,Added,,,
grades,G082-12,Added,,,
grades,G001-181,Added,,,
grades,G153-02,Added,,,
headlines,M150 | density | V010000,Added,,,
headlines,M151 | density | V010100,Added,,,
headlines,M151 | tensileModulusXY | V010102,Added,,,
headlines,M151 | tensileStrengthXY | V010101,Added,,,
headlines,M151 | elongationXY | V010103,Added,,,
headlines,M152 | density | V010252,Added,,,
headlines,M156 | density | V010359,Added,,,
headlines,M156 | hdt045 | V010365,Added,,,
headlines,M157 | density | V010383,Added,,,
material_links,M150 | printing | P0978,Added,,,
material_links,M151 | printing | P0994,Added,,,
material_links,M152 | printing | P1016,Added,,,
material_links,M154 | printing | P1026,Added,,,
material_links,M156 | printing | P1029,Added,,,
material_links,M157 | printing | P1032,Added,,,
materials,M150,Added,,,
materials,M151,Added,,,
materials,M152,Added,,,
materials,M153,Added,,,
materials,M154,Added,,,
materials,M155,Added,,,
materials,M156,Added,,,
materials,M157,Added,,,
measurements,V010000,Added,,,
measurements,V010001,Added,,,
measurements,V010002,Added,,,
measurements,V010003,Added,,,
measurements,V010004,Added,,,
measurements,V010005,Added,,,
measurements,V010006,Added,,,
measurements,V010007,Added,,,
measurements,V010008,Added,,,
measurements,V010009,Added,,,
measurements,V010010,Added,,,
measurements,V010011,Added,,,
measurements,V010012,Added,,,
measurements,V010013,Added,,,
measurements,V010014,Added,,,
measurements,V010015,Added,,,
measurements,V010016,Added,,,
measurements,V010017,Added,,,
measurements,V010018,Added,,,
measurements,V010019,Added,,,
measurements,V010020,Added,,,
measurements,V010021,Added,,,
measurements,V010022,Added,,,
measurements,V010023,Added,,,
measurements,V010024,Added,,,
measurements,V010025,Added,,,
measurements,V010026,Added,,,
measurements,V010027,Added,,,
measurements,V010028,Added,,,
measurements,V010029,Added,,,
measurements,V010030,Added,,,
measurements,V010031,Added,,,
measurements,V010032,Added,,,
measurements,V010033,Added,,,
measurements,V010034,Added,,,
measurements,V010035,Added,,,
measurements,V010036,Added,,,
measurements,V010037,Added,,,
measurements,V010038,Added,,,
measurements,V010039,Added,,,
measurements,V010040,Added,,,
measurements,V010041,Added,,,
measurements,V010042,Added,,,
measurements,V010043,Added,,,
measurements,V010044,Added,,,
measurements,V010045,Added,,,
measurements,V010046,Added,,,
measurements,V010047,Added,,,
measurements,V010048,Added,,,
measurements,V010049,Added,,,
measurements,V010050,Added,,,
measurements,V010051,Added,,,
measurements,V010052,Added,,,
measurements,V010053,Added,,,
measurements,V010054,Added,,,
measurements,V010055,Added,,,
measurements,V010056,Added,,,
measurements,V010057,Added,,,
measurements,V010058,Added,,,
measurements,V010059,Added,,,
measurements,V010060,Added,,,
measurements,V010061,Added,,,
measurements,V010062,Added,,,
measurements,V010063,Added,,,
measurements,V010064,Added,,,
measurements,V010065,Added,,,
measurements,V010066,Added,,,
measurements,V010067,Added,,,
measurements,V010068,Added,,,
measurements,V010069,Added,,,
measurements,V010070,Added,,,
measurements,V010071,Added,,,
measurements,V010072,Added,,,
measurements,V010073,Added,,,
measurements,V010074,Added,,,
measurements,V010075,Added,,,
measurements,V010076,Added,,,
measurements,V010077,Added,,,
measurements,V010078,Added,,,
measurements,V010079,Added,,,
measurements,V010080,Added,,,
measurements,V010081,Added,,,
measurements,V010082,Added,,,
measurements,V010083,Added,,,
measurements,V010084,Added,,,
measurements,V010085,Added,,,
measurements,V010086,Added,,,
measurements,V010087,Added,,,
measurements,V010088,Added,,,
measurements,V010089,Added,,,
measurements,V010090,Added,,,
measurements,V010091,Added,,,
measurements,V010092,Added,,,
measurements,V010093,Added,,,
measurements,V010094,Added,,,
measurements,V010095,Added,,,
measurements,V010096,Added,,,
measurements,V010097,Added,,,
measurements,V010098,Added,,,
measurements,V010099,Added,,,
measurements,V010100,Added,,,
measurements,V010101,Added,,,
measurements,V010102,Added,,,
measurements,V010103,Added,,,
measurements,V010104,Added,,,
measurements,V010105,Added,,,
measurements,V010106,Added,,,
measurements,V010107,Added,,,
measurements,V010108,Added,,,
measurements,V010109,Added,,,
